simulation_id,time,interval,perturbation_density,recovery_beta,gamma,decay,noise,mean_r,min_r,mean_D,max_D,reachable_fraction,effective_edges,edge_fraction,weighted_mean_path_cost,weighted_max_path_cost,weighted_efficiency,future_weighted_efficiency,future_reachable_fraction,future_deterioration,future_efficiency_delta,noise_numeric
12,54,6,0.16666666666666666,0.030000000000000002,0.15,0.01,False,0.8888888888888888,0.0,0.23714510004126035,10.914289849366039,0.8888888888888888,228,0.8636363636363636,13.134313448271612,64.16120198682546,0.1053918713053627,0.10544506079796437,0.8888888888888888,0,-5.3189492601662947e-05,0
12,55,6,0.16666666666666666,0.030000000000000002,0.15,0.01,False,0.8888888888888888,0.0,0.23477364904084774,10.805146950872379,0.8888888888888888,228,0.8636363636363636,13.133838117700227,64.15692401168299,0.10539475082703265,0.10544748803711303,0.8888888888888888,0,-5.273721008038079e-05,0
12,56,6,0.16666666666666666,0.030000000000000002,0.15,0.01,False,0.8888888888888888,0.0,0.23242591255043926,10.697095481363656,0.8888888888888888,228,0.8636363636363636,13.133367314602706,64.1526867838053,0.10539760623380096,0.10544989429103294,0.8888888888888888,0,-5.22880572319806e-05,0
12,57,6,0.16666666666666666,0.030000000000000002,0.15,0.01,False,0.8888888888888888,0.0,0.23010165342493494,10.590124526550019,0.8888888888888888,228,0.8636363636363636,13.13290099803979,64.14848993473905,0.1054004376858416,0.1054522797112867,0.8888888888888888,0,-5.184202544510075e-05,0
12,58,6,0.16666666666666666,0.030000000000000002,0.15,0.01,False,0.8888888888888888,0.0,0.22780063689068555,10.48422328128452,0.8888888888888888,228,0.8636363636363636,13.132439127399902,64.14433309898007,0.10540324534302091,0.10545464444889112,0.8888888888888888,0,-5.1399105870209016e-05,0
12,59,6,0.16666666666666666,0.030000000000000002,0.15,0.01,False,0.8888888888888888,0.0,0.22552263052177868,10.379381048471673,0.8888888888888888,228,0.8636363636363636,13.131981662397363,64.14021591395722,0.10540602936488262,0.10545698865430818,0.8888888888888888,0,-5.0959289425556165e-05,0
12,60,6,0.16666666666666666,0.030000000000000002,0.15,0.01,False,0.8888888888888888,0.0,0.22326740421656088,10.275587237986956,0.8888888888888888,228,0.8636363636363636,13.131528563070605,64.13613802001639,0.10540878991063354,0.10545931247743641,0.8888888888888888,0,-5.052256680286582e-05,0
12,61,6,0.16666666666666666,0.030000000000000002,0.15,0.01,False,0.8888888888888888,0.0,0.2210347301743953,10.172831365607086,0.8888888888888888,228,0.8636363636363636,13.131079789780372,64.1320990604043,0.10541152713912934,0.10546161606760235,0.8888888888888888,0,-5.00889284730105e-05,0
12,62,6,0.16666666666666666,0.030000000000000002,0.15,0.01,False,0.8888888888888888,0.0,0.21882438287265135,10.071103051951015,0.8888888888888888,228,0.8636363636363636,13.130635303207919,64.12809868125223,0.10541424120886084,0.10546389957355241,0.8888888888888888,0,-4.9658364691576584e-05,0
12,63,6,0.16666666666666666,0.030000000000000002,0.15,0.01,False,0.8888888888888888,0.0,0.2166361390439248,9.970392021431504,0.8888888888888888,228,0.8636363636363636,13.130195064353199,64.12413653155974,0.10541693227794036,0.10546616314344502,0.8888888888888888,0,-4.9230865504665267e-05,0
12,64,6,0.16666666666666666,0.030000000000000002,0.15,0.01,False,0.8888888888888888,0.0,0.21446977765348554,9.870688101217189,0.8888888888888888,228,0.8636363636363636,13.129759034533047,64.12021226317837,0.10541960050408858,0.10546840692484276,0.8888888888888888,0,-4.880642075417996e-05,0
12,65,6,0.16666666666666666,0.030000000000000002,0.15,0.01,False,0.8888888888888888,0.0,0.2123250798769507,9.771981220205017,0.8888888888888888,228,0.8636363636363636,13.129327175379354,64.11632553079514,0.10542224604462175,0.10547063106470499,0.8888888888888888,0,-4.838502008323864e-05,0
12,66,6,0.16666666666666666,0.030000000000000002,0.15,0.01,False,0.8888888888888888,0.0,0.2102018290781812,9.674261408002966,0.8888888888888888,228,0.8636363636363636,13.12889944883724,64.11247599191611,0.10542486905643887,0.10547283570938062,0.8888888888888888,0,-4.796665294175273e-05,0
12,67,6,0.16666666666666666,0.030000000000000002,0.15,0.01,False,0.8888888888888888,0.0,0.2080998107873994,9.577518793922936,0.8888888888888888,228,0.8636363636363636,13.128475817163228,64.10866330684999,0.10542746969600957,0.10547502100460121,0.8888888888888888,0,-4.7551308591645136e-05,0
12,68,6,0.16666666666666666,0.030000000000000002,0.15,0.01,False,0.8888888888888888,0.0,0.20601881267952538,9.481743605983706,0.8888888888888888,228,0.8636363636363636,13.128056242923384,64.1048871386914,0.10543004811936205,0.10547718709547399,0.8888888888888888,0,-4.71389761119434e-05,0
12,69,6,0.16666666666666666,0.030000000000000002,0.15,0.01,False,0.8888888888888888,0.0,0.20395862455273014,9.386926169923868,0.8888888888888888,228,0.8636363636363636,13.127640688991498,64.10114715330444,0.10543260448207138,0.10547933412647562,0.8888888888888888,0,-4.672964440423366e-05,0
12,70,6,0.16666666666666666,0.030000000000000002,0.15,0.01,False,0.8888888888888888,0.0,0.2019190383072028,9.29305690822463,0.8888888888888888,228,0.8636363636363636,13.12722911854723,64.09744301930603,0.10543513893924811,0.10548146224144567,0.8888888888888888,0,-4.6323302197559535e-05,0
