simulation_id,time,interval,perturbation_density,recovery_beta,gamma,decay,noise,mean_r,min_r,mean_D,max_D,reachable_fraction,effective_edges,edge_fraction,weighted_mean_path_cost,weighted_max_path_cost,weighted_efficiency
31,105,10,0.1,0.036000000000000004,0.144,0.012000000000000002,False,0.8888888888888888,0.0,0.13371823128785099,6.15420489044997,0.8888888888888888,228,0.8636363636363636,13.113367500118523,63.97268845344766,0.10552204264821481
31,106,10,0.1,0.036000000000000004,0.144,0.012000000000000002,False,0.8888888888888888,0.0,0.13211361251239678,6.08035443176457,0.8888888888888888,228,0.8636363636363636,13.113039026980022,63.969732195201146,0.1055241391212273
31,107,10,0.1,0.036000000000000004,0.144,0.012000000000000002,False,0.8888888888888888,0.0,0.130528249162248,6.007390178583395,0.8888888888888888,228,0.8636363636363636,13.11271438914021,63.96681045464283,0.10552621284181146
31,108,10,0.1,0.036000000000000004,0.144,0.012000000000000002,False,0.8888888888888888,0.0,0.12896191017230105,5.9353014964403945,0.8888888888888888,228,0.8636363636363636,13.11239354306252,63.96392283994363,0.1055282640300268
31,109,10,0.1,0.036000000000000004,0.144,0.012000000000000002,False,0.8888888888888888,0.0,0.1274143672502334,5.864077878483109,0.8888888888888888,228,0.8636363636363636,13.112076445675267,63.96106896345836,0.10553029290441
31,110,10,0.1,0.036000000000000004,0.144,0.012000000000000002,False,0.8888888888888888,0.0,0.1258853948432306,5.793708943941312,0.8888888888888888,228,0.8636363636363636,13.111763054367383,63.95824844168739,0.10553229968197132
31,111,10,0.1,0.036000000000000004,0.144,0.012000000000000002,False,0.8888888888888888,0.0,0.12437477010511183,5.724184436614016,0.8888888888888888,228,0.8636363636363636,13.111453326984167,63.95546089523844,0.10553428457819136
31,112,10,0.1,0.036000000000000004,0.144,0.012000000000000002,False,0.8888888888888888,0.0,0.1228822728638505,5.655494223374648,0.8888888888888888,228,0.8636363636363636,13.111147221823064,63.95270594878852,0.10553624780701804
31,113,10,0.1,0.036000000000000004,0.144,0.012000000000000002,False,0.8888888888888888,0.0,0.12140768558948428,5.587628292694152,0.8888888888888888,228,0.8636363636363636,13.110844697629469,63.94998323104618,0.10553818958086424
31,114,10,0.1,0.036000000000000004,0.144,0.012000000000000002,False,0.8888888888888888,0.0,0.11995079336241049,5.520576753181822,0.8888888888888888,228,0.8636363636363636,13.110545713592554,63.94729237471393,0.10554011011060574
